,A,B,C,G,R,X6,X8,Class
1769,11,665.59,609.8,82.22,186,16.6667,0.1398,E
1770,12,674.78,609.8,82.22,251,35.8566,0.1411,E
1771,12,692.94,609.8,62.52,1860,71.3441,0.17600000000000002,E
1772,11,719.51,619.79,62.52,3150,69.2063,0.1737,E
1773,13,685.01,609.8,70.61,1505,59.0698,0.1738,E
1774,20,654.55,589.8,83.36,456,51.3158,0.1736,E
1775,17,646.01,579.81,82.22,751,22.7696,0.1376,E
1776,12,673.58,579.81,65.24,2448,30.433000000000003,0.1767,E
1777,13,675.36,599.8,65.24,2391,23.8394,0.1377,E
1778,19,646.6,599.8,83.36,575,20.3478,0.3163,E
1779,16,658.42,599.8,77.95,541,56.3771,0.1726,E
1780,12,668.61,619.79,77.95,810,41.2346,0.2087,E
1781,12,677.16,619.79,78.97,581,39.4148,0.1406,E
1782,9,671.17,619.79,81.11,412,52.6699,0.1386,E
1783,12,669.08,629.79,82.22,358,71.2291,0.1738,E
1784,15,673.82,639.79,82.22,488,78.6885,0.1767,E
1785,14,660.69,609.8,82.22,253,55.7312,0.3096,E
1786,16,647.34,599.8,84.54,325,29.2308,0.1716,E
1787,16,653.65,599.8,84.54,388,16.7526,0.1391,E
1788,13,663.03,619.79,84.54,370,31.0811,0.1754,E
1789,16,657.74,589.8,84.54,576,53.125,0.2073,E
1790,18,662.1,589.8,84.54,575,30.9565,0.1756,E
1791,14,671.92,619.79,84.54,191,29.8429,0.3544,E
1792,12,676.02,649.78,84.54,79,49.3671,0.2219,E
1793,16,667.03,599.8,82.22,309,72.8155,0.1874,E
1794,21,646.38,599.8,82.22,314,59.5541,0.1406,E
1795,23,652.28,609.8,83.36,181,22.6519,0.2091,E
1796,22,671.87,619.79,76.95,391,29.9233,0.2077,E
1797,21,693.34,619.79,74.1,1344,9.4494,0.20600000000000002,E
1798,20,713.01,639.79,74.1,1253,9.8962,0.1403,E
1799,20,663.03,349.88,75.97,1745,57.4212,0.1754,E
1800,19,652.51,349.88,76.95,1581,73.6875,0.1742,E
1801,19,684.77,609.8,80.03,460,63.4783,0.1391,E
1802,23,668.35,619.79,82.22,159,70.4403,0.1425,E
1803,22,663.5,619.79,83.36,131,42.7481,0.2804,E
1804,23,672.57,619.79,78.97,394,42.3858,0.1729,E
1805,23,681.92,629.79,78.97,541,47.3198,0.1397,E
1806,22,678.11,629.79,80.03,511,18.1996,0.1404,E
1807,20,664.43,619.79,80.03,274,28.8321,0.21,E
1808,19,670.94,619.79,83.36,133,32.3308,0.20800000000000002,E
1809,16,684.77,659.78,83.36,82,39.0244,0.1739,E
1810,18,680.7,359.88,78.97,216,34.7222,0.205,E
1811,21,701.72,629.79,78.97,293,17.0648,0.139,E
1812,21,700.01,649.78,81.11,275,27.2727,0.1394,E
1813,25,666.99,579.81,80.03,477,25.7862,0.1395,E
1814,26,641.34,579.81,80.03,378,16.4021,0.2772,E
1815,22,635.34,559.81,82.22,491,43.5845,0.3498,E
1816,14,645.69,559.81,82.22,624,26.4423,0.1408,E
1817,16,655.64,359.88,81.11,391,26.087,0.1488,E
1818,23,678.31,599.8,81.11,236,38.5593,0.1798,E
1819,24,703.67,679.77,81.11,45,31.1111,0.312,E
1820,24,708.54,679.77,81.11,84,19.0476,0.3442,E
1821,23,698.58,359.88,82.22,48,62.5,0.1704,E
1822,23,707.81,689.77,81.11,53,30.1887,0.2412,E
1823,25,693.91,619.79,81.11,319,11.2853,0.24600000000000002,E
1824,23,701.52,619.79,65.96,1191,48.0269,0.1426,E
1825,22,733.35,669.78,65.96,874,70.0229,0.1399,E
1826,23,721.01,689.77,76.95,376,23.1383,0.3121,E
1827,24,702.45,679.77,82.22,36,61.1111,0.1736,E
1828,22,694.65,639.79,83.36,124,25.0,0.1756,E
1829,23,656.14,589.8,83.36,339,56.6372,0.1386,E
1830,24,656.29,589.8,80.03,297,59.596000000000004,0.2481,E
1831,17,698.06,659.78,77.95,189,46.5608,0.1398,E
1832,11,690.26,659.78,82.22,126,57.9365,0.212,E
1833,11,677.63,659.78,84.54,70,31.4286,0.2108,E
1834,12,673.73,619.79,81.11,274,8.0292,0.3107,E
1835,19,670.01,619.79,81.11,320,15.3125,0.1388,E
1836,18,679.54,609.8,81.11,209,75.1196,0.1752,E
1837,13,704.89,609.8,75.97,285,55.4386,0.17300000000000001,E
1838,14,743.44,689.77,61.24,1549,37.1207,0.1416,E
1839,11,743.17,669.78,61.24,1831,46.8596,0.1771,E
1840,16,707.51,639.79,78.97,204,18.6275,0.1413,E
1841,12,703.42,639.79,80.03,231,6.4935,0.2427,E
1842,8,708.51,659.78,81.11,76,43.4211,0.3529,E
1843,14,690.01,359.88,82.22,284,15.1408,0.2761,E
1844,16,680.73,589.8,77.95,473,39.5349,0.2798,E
1845,13,690.26,589.8,77.95,425,37.6471,0.3534,E
1846,10,694.16,659.78,80.03,190,35.2632,0.1405,E
1847,10,678.82,659.78,85.74,41,65.8537,0.1403,E
1848,8,700.74,659.78,68.99,667,62.5187,0.2088,E
1849,12,700.74,559.81,68.99,763,71.9528,0.2088,E
1850,18,671.68,559.81,78.97,433,45.9584,0.1418,E
1851,20,678.82,619.79,82.22,213,24.4131,0.3508,E
1852,20,689.06,659.78,82.22,66,42.4242,0.3455,E
1853,20,686.68,649.78,83.36,48,50.0,0.2427,E
1854,22,672.1,629.79,83.36,190,34.7368,0.2768,E
1855,23,659.08,609.8,82.22,512,32.2266,0.1764,E
1856,19,647.97,609.8,82.22,210,53.3333,0.1403,E
1857,14,666.52,609.8,81.11,169,29.5858,0.2094,E
1858,10,687.09,649.78,81.11,90,35.5556,0.142,E
1859,15,692.63,659.78,83.36,32,59.375,0.1719,E
1860,21,700.74,689.77,83.36,27,40.7407,0.174,E
1861,20,705.51,689.77,83.36,24,50.0,0.3544,E
1862,21,701.72,649.78,82.22,67,71.6418,0.3128,E
1863,17,687.87,649.78,82.22,74,74.3243,0.2769,E
1864,15,678.35,369.88,66.69,2154,78.4123,0.3159,E
1865,16,661.87,319.89,66.69,4237,82.7236,0.3162,E
1866,14,673.03,319.89,76.95,2752,63.4084,0.1728,E
1867,11,718.26,349.88,42.27,22585,79.6148,0.2785,E
1868,11,765.15,449.85,41.11,11589,51.5834,0.1413,E
1869,10,750.54,689.77,41.11,12629,63.9401,0.1753,E
1870,9,681.59,319.89,76.95,2145,49.5571,0.1334,E
1871,14,700.2,569.81,73.2,667,57.7211,0.3106,E
1872,23,685.03,619.79,73.2,821,54.6894,0.1537,E
1873,25,675.25,619.79,81.11,225,17.3333,0.3526,E
1874,24,691.23,609.8,65.24,1870,55.8824,0.247,E
1875,24,705.37,609.8,65.24,1850,57.8378,0.2766,E
1876,24,730.53,659.78,67.44,985,47.2081,0.2457,E
1877,24,721.26,639.79,75.03,402,43.2836,0.1733,E
1878,24,702.45,639.79,76.95,497,21.7304,0.1389,E
1879,24,700.0,649.78,76.95,316,30.0633,0.1361,E
1880,25,673.58,619.79,76.95,462,30.303,0.1414,E
1881,26,661.82,619.79,84.54,275,17.4545,0.20600000000000002,E
1882,24,658.87,599.8,78.97,367,29.9728,0.1725,E
1883,15,688.31,599.8,78.97,390,33.5897,0.1772,E
1884,13,715.01,649.78,80.03,165,41.8182,0.1399,E
1885,21,659.1,579.81,80.03,166,77.7108,0.1724,E
1886,21,663.5,579.81,81.11,197,30.4569,0.1753,E
1887,15,701.52,669.78,81.11,81,53.0864,0.1426,E
1888,20,690.75,659.78,82.22,105,48.5714,0.1766,E
1889,23,690.25,659.78,83.36,97,39.1753,0.1725,E
1890,22,698.79,659.78,80.03,339,15.9292,0.1396,E
1891,20,707.57,659.78,73.2,355,50.7042,0.2068,E
1892,23,710.01,679.77,73.2,324,58.0247,0.2113,E
1893,22,702.2,659.78,81.11,93,45.1613,0.3126,E
1894,23,692.86,629.79,78.97,584,27.5685,0.2405,E
1895,23,690.75,629.79,78.97,968,18.2851,0.3178,E
1896,19,686.11,629.79,78.97,469,8.5288,0.3555,E
1897,20,659.1,589.8,84.54,233,65.2361,0.2069,E
1898,22,622.77,359.88,64.54,1183,68.3009,0.205,E
1899,21,638.23,359.88,64.54,866,87.5289,0.2786,E
1900,24,671.17,629.79,85.74,130,62.3077,0.2772,E
1901,23,693.18,649.78,74.1,194,84.5361,0.1407,E
1902,20,724.01,659.78,74.1,526,38.403,0.1727,E
1903,19,705.86,609.8,75.03,639,21.9092,0.1728,E
1904,24,660.71,599.8,80.03,138,63.0435,0.17600000000000002,E
1905,24,672.8,609.8,80.03,311,36.6559,0.1383,E
1906,18,697.08,659.78,80.03,133,69.1729,0.2449,E
1907,22,669.78,349.88,83.36,271,41.3284,0.1357,E
1908,17,686.6,609.8,77.95,348,35.6322,0.1421,E
1909,14,718.73,679.77,77.95,138,76.8116,0.2854,E
1910,19,726.42,679.77,75.97,310,30.9677,0.353,E
1911,24,673.41,349.88,75.97,610,29.8361,0.2362,E
1912,22,687.33,609.8,71.45,603,36.1526,0.2129,E
1913,17,746.07,669.78,71.45,356,51.9663,0.3175,E
1914,18,739.75,669.78,74.1,271,38.0074,0.1386,E
1915,20,745.8,649.78,60.63,2045,74.4254,0.1764,E
1916,22,707.57,609.8,60.63,1717,79.2662,0.1724,E
1917,22,671.2,599.8,77.95,970,23.299,0.1419,E
1918,12,724.89,629.79,76.95,561,13.5472,0.1415,E
1919,11,735.25,379.87,76.95,120,31.6667,0.136,E
1920,18,732.83,699.77,77.95,108,37.963,0.2449,E
1921,24,687.15,619.79,80.03,116,41.3793,0.3465,E
1922,24,673.58,619.79,76.95,339,63.4218,0.1767,E
1923,22,701.72,659.78,76.95,400,58.5,0.3476,E
1924,21,712.33,659.78,78.97,282,62.4113,0.36,E
1925,22,709.51,659.78,78.97,203,60.0985,0.3524,E
1926,21,715.66,659.78,69.79,892,90.0224,0.2508,E
1927,21,736.68,669.78,67.44,1166,70.9262,0.2088,E
1928,23,707.57,639.79,67.44,770,50.2597,0.1379,E
1929,23,681.17,369.88,72.31,1113,46.7206,0.1366,E
1930,24,670.24,609.8,72.31,808,52.7228,0.34700000000000003,E
1931,26,656.06,589.8,73.2,710,39.8592,0.1418,E
1932,24,675.25,579.81,45.82,10582,48.1572,0.2116,E
1933,22,680.96,579.81,45.82,10190,52.6202,0.1748,E
1934,23,685.96,649.78,78.97,382,37.6963,0.3471,E
1935,21,688.34,659.78,78.97,173,48.5549,0.3459,E
1936,18,696.6,669.78,75.97,253,50.1976,0.3501,E
1937,16,703.52,679.77,74.1,323,47.3684,0.3198,E
1938,19,677.72,329.89,45.13,4151,86.4611,0.1135,E
1939,24,657.59,329.89,45.13,13898,62.9443,0.2226,E
1940,24,721.04,609.8,57.71,2960,32.0946,0.1422,E
1941,24,686.91,579.81,68.99,1001,57.5425,0.3466,E
1942,24,658.87,579.81,82.22,581,19.9656,0.138,E
1943,22,669.08,599.8,82.22,154,70.7792,0.139,E
1944,23,666.99,599.8,83.36,259,59.4595,0.1395,E
1945,22,682.39,649.78,82.22,158,51.8987,0.2094,E
1946,22,691.23,649.78,81.11,274,72.9927,0.1411,E
1947,26,686.44,649.78,81.11,278,48.5612,0.2428,E
1948,24,683.11,649.78,83.36,198,25.7576,0.3137,E
1949,25,684.77,659.78,83.36,87,49.4253,0.1391,E
1950,25,681.2,659.78,82.22,124,31.4516,0.2447,E
1951,26,697.82,659.78,73.2,364,60.1648,0.2796,E
1952,24,693.58,649.78,73.2,361,58.7258,0.2746,E
1953,26,665.23,359.88,81.11,172,63.9535,0.1367,E
1954,26,681.63,599.8,48.02,6590,71.3657,0.2388,E
1955,26,690.99,599.8,48.02,7207,68.8775,0.2118,E
1956,24,694.53,629.79,78.97,289,40.8304,0.3428,E
1957,25,695.13,659.78,81.11,197,27.4112,0.1754,E
1958,25,683.49,609.8,81.11,325,43.3846,0.1701,E
1959,20,600.63,499.83,82.22,514,43.1907,0.1387,E
1960,18,565.97,499.83,95.27,104,52.8846,0.1699,E
1961,22,597.93,549.82,93.78,204,19.6078,0.1394,E
1962,19,621.07,579.81,89.58,358,17.3184,0.13699999999999998,E
1963,16,638.01,589.8,84.54,472,19.4915,0.2438,E
1964,16,639.34,589.8,84.54,374,36.8984,0.139,E
1965,17,636.45,609.8,90.94,145,33.7931,0.3492,E
1966,16,638.42,599.8,85.74,438,20.7763,0.17800000000000002,E
1967,15,645.69,599.8,83.36,707,7.2136,0.17600000000000002,E
1968,15,642.74,599.8,83.36,307,14.3322,0.3536,E
1969,21,620.23,579.81,88.26,235,35.7447,0.1402,E
1970,19,614.05,579.81,86.99,273,25.2747,0.2079,E
1971,15,614.26,579.81,86.99,577,12.305,0.1732,E
1972,14,603.55,569.81,90.94,307,12.0521,0.2071,E
1973,14,602.57,569.81,88.26,307,26.3844,0.2119,E
1974,13,610.65,579.81,88.26,340,28.8235,0.1394,E
1975,12,604.05,569.81,90.94,256,21.4844,0.1409,E
1976,11,593.14,569.81,93.78,135,32.5926,0.1405,E
1977,10,603.76,569.81,92.34,165,12.7273,0.1725,E
1978,11,597.15,559.81,92.34,260,16.5385,0.2051,E
1979,10,598.34,559.81,92.34,365,13.4247,0.1393,E
1980,9,608.95,569.81,85.74,646,17.6471,0.2096,E
1981,10,625.01,569.81,51.3,5372,74.1065,0.1391,E
1982,11,618.49,569.81,51.3,5521,74.8596,0.1406,E
1983,10,600.01,569.81,95.27,295,18.3051,0.1736,E
1984,10,596.74,569.81,95.27,186,24.1935,0.171,E
1985,11,593.76,559.81,89.58,419,16.4678,0.1754,E
1986,11,605.54,559.81,82.22,627,42.2648,0.1405,E
1987,11,614.36,559.81,82.22,421,29.4537,0.1769,E
1988,13,614.48,579.81,90.94,148,60.8108,0.1385,E
1989,11,611.32,589.8,93.78,100,37.0,0.1422,E
1990,11,611.71,579.81,89.58,269,12.6394,0.2087,E
1991,10,601.93,559.81,90.94,158,44.3038,0.1414,E
1992,12,593.76,539.82,89.58,450,30.6667,0.1754,E
1993,11,598.76,539.82,89.58,601,26.9551,0.1392,E
1994,11,600.42,549.82,92.34,326,14.1104,0.34700000000000003,E
1995,10,602.3,569.81,92.34,188,35.6383,0.1384,E
1996,11,596.68,539.82,93.78,221,14.4796,0.3492,E
1997,11,597.3,539.82,93.78,281,29.8932,0.1744,E
1998,11,600.65,559.81,90.94,542,27.6753,0.1417,E
1999,11,613.27,559.81,84.54,703,33.8549,0.1418,E
2000,11,619.79,569.81,84.54,689,30.479,0.1373,E
2001,10,622.18,579.81,85.74,507,19.1321,0.1398,E
2002,12,598.34,309.9,85.74,1092,71.0623,0.1393,E
2003,13,595.84,309.9,68.99,2652,62.2549,0.1748,E
2004,10,623.05,529.82,68.99,1236,67.8803,0.1396,E
2005,10,616.18,569.81,90.94,339,29.2035,0.1727,E
2006,10,628.7,559.81,50.44,5381,62.7764,0.2766,E
2007,12,599.54,309.9,50.44,9515,52.0652,0.1756,E
2008,12,531.73,309.9,70.61,5903,47.4335,0.1343,E
2009,16,536.61,319.89,57.71,11716,69.4606,0.1758,E
2010,17,563.41,329.89,54.56,18738,66.4532,0.284,E
2011,18,571.01,309.9,55.06,18131,20.6773,0.1751,E
2012,19,598.74,309.9,45.47,39667,62.8079,0.2488,E
2013,18,560.41,309.9,45.47,34510,86.5894,0.2498,E
2014,15,551.16,309.9,40.01,48397,62.8882,0.1745,E
2015,14,597.72,309.9,40.01,55757,51.8034,0.3486,E
2016,17,571.65,309.9,51.3,35867,54.8833,0.3213,E
2017,20,539.44,309.9,53.59,19998,66.4916,0.3498,E
2018,18,545.78,319.89,53.59,11512,89.9844,0.1409,E
2019,19,515.01,309.9,66.69,8381,91.7432,0.1798,E
2020,19,516.86,309.9,41.39,39766,62.4,0.2866,E
2021,19,527.08,319.89,41.39,59913,79.547,0.2604,E
2022,20,547.07,309.9,46.53,30437,84.2889,0.2867,E
2023,18,522.23,309.9,54.56,12421,80.0258,0.2128,E
2024,16,543.97,309.9,43.81,24352,71.5218,0.2081,E
2025,19,595.01,309.9,38.23,41172,61.8576,0.2101,E
2026,18,661.54,309.9,38.23,66261,36.2687,0.2223,E
2027,18,581.68,359.88,47.63,43015,33.579,0.1612,E
2028,15,511.5,309.9,61.24,4418,77.9312,0.3259,E
