,A,B,C,G,R,X6,X8,Class
2295,12,887.52,739.75,56.62,4719,92.4136,0.2465,A
2296,11,879.4,369.88,56.62,3305,90.8623,0.2412,A
2297,11,900.32,769.74,56.09,2827,68.1641,0.243,A
2298,10,876.9,699.77,56.09,5751,70.1791,0.2495,A
2299,10,886.67,699.77,54.56,5736,89.5049,0.2392,A
2300,10,900.67,789.74,54.56,3402,96.2375,0.2507,A
2301,10,890.33,809.73,61.88,1217,91.4544,0.2457,A
2302,9,879.08,809.73,64.54,1059,92.729,0.2488,A
2303,11,850.32,749.75,65.24,1679,88.6837,0.2495,A
2304,13,843.54,749.75,57.16,3758,94.199,0.2441,A
2305,12,854.26,709.76,57.16,4619,93.2669,0.2483,A
2306,10,858.8,709.76,57.71,4587,90.0807,0.247,A
2307,9,844.13,709.76,57.71,4913,90.4946,0.2439,A
2308,10,850.32,709.76,58.27,5226,71.8905,0.2495,A
2309,10,856.9,739.75,58.27,3673,77.5388,0.2188,A
2310,10,852.44,749.75,61.24,4000,69.5,0.2488,A
2311,9,814.59,729.76,61.24,1922,88.9698,0.2455,A
2312,10,810.59,739.75,65.24,2380,87.0168,0.2467,A
2313,10,838.84,739.75,55.57,4054,71.5343,0.2454,A
2314,9,865.17,739.75,55.57,4837,75.1706,0.2452,A
2315,10,853.65,749.75,56.09,5101,86.2968,0.2485,A
2316,9,835.9,739.75,60.02,3801,92.1863,0.2463,A
2317,9,824.43,739.75,54.07,3748,79.9626,0.2497,A
2318,9,845.89,739.75,54.07,4751,80.4462,0.2434,A
2319,8,853.35,739.75,59.43,3615,81.4108,0.2486,A
2320,9,844.26,739.75,60.02,4178,78.6022,0.2154,A
2321,8,858.54,619.79,44.79,23571,75.245,0.1713,A
2322,10,800.93,349.88,44.79,40383,69.3336,0.1499,A
2323,13,706.43,349.88,49.2,20633,100.0,0.0944,A
2324,11,862.09,359.88,48.02,59046,89.4726,0.1657,A
2325,9,894.54,719.76,56.09,6649,87.6523,0.2524,A
2326,9,858.2,719.76,56.09,7903,91.8638,0.2119,A
2327,10,839.13,689.77,57.71,6181,94.8067,0.2103,A
2328,10,824.73,669.78,54.56,9932,71.2445,0.1783,A
2329,8,808.87,669.78,54.56,8101,72.633,0.2473,A
2330,9,836.69,669.78,58.27,5962,51.107,0.1449,A
2331,9,860.93,669.78,58.27,6000,48.6,0.2464,A
2332,10,774.07,499.83,46.53,11264,57.3775,0.3492,A
2333,9,752.53,499.83,63.85,2412,70.2322,0.1846,A
2334,9,825.61,699.77,62.52,2864,54.8883,0.2138,A
2335,10,844.13,689.77,59.43,5189,68.0863,0.2439,A
2336,8,858.78,689.77,58.27,5574,86.8317,0.2183,A
2337,8,860.93,689.77,58.27,6173,80.3661,0.2112,A
2338,8,873.04,739.75,60.02,3722,80.2526,0.243,A
2339,9,876.9,799.73,61.88,2518,94.162,0.2495,A
2340,9,852.75,689.77,57.71,3961,79.9041,0.2488,A
2341,8,865.17,689.77,57.71,4496,73.7544,0.2452,A
2342,9,874.08,759.75,57.71,2531,91.5844,0.2503,A
2343,8,855.17,729.76,57.71,4371,87.0281,0.2481,A
2344,9,872.44,729.76,60.63,4851,88.7858,0.2431,A
2345,8,866.59,689.77,59.43,3936,76.753,0.2524,A
2346,9,836.49,689.77,59.43,4884,63.7797,0.2461,A
2347,8,752.45,649.78,61.24,2085,63.788999999999994,0.2514,A
2348,7,728.73,649.78,70.61,1879,90.79299999999999,0.2111,A
2349,7,790.85,669.78,61.88,2636,80.7284,0.2107,A
2350,8,836.49,689.77,56.62,6418,69.3674,0.2461,A
2683,8,840.31,619.79,39.49,22541,80.0319,0.245,A
2684,6,863.65,679.77,51.74,5427,75.7324,0.1404,A
2685,6,924.36,729.76,51.74,6607,36.4159,0.1442,A
2686,8,975.19,849.72,51.74,3522,36.8257,0.1414,A
2687,8,977.26,859.71,53.12,2260,73.8053,0.2117,A
2688,9,963.13,859.71,56.09,1363,71.6801,0.2864,A
2689,9,942.69,839.72,59.43,1384,77.8179,0.2829,A
2690,6,957.96,839.72,54.56,2366,86.4751,0.28800000000000003,A
2691,7,1008.24,889.7,50.44,5383,31.1165,0.248,A
2692,8,962.44,379.87,50.44,10953,41.2125,0.2508,A
2693,8,950.37,379.87,54.56,7694,65.3236,0.1814,A
2694,6,992.53,889.7,52.19,1733,83.3237,0.1799,A
2695,7,993.95,889.7,52.19,2533,81.7213,0.2875,A
2696,7,975.88,879.71,56.62,1957,68.8298,0.2827,A
2697,8,876.37,389.87,45.13,9942,81.9252,0.1383,A
2929,10,640.01,549.82,77.95,2105,10.0713,0.1736,A
2930,10,634.68,559.81,77.95,898,38.4187,0.1751,A
2931,10,626.96,579.81,85.74,564,31.5603,0.20800000000000002,A
2932,10,639.12,579.81,82.22,889,15.748,0.1739,A
2933,8,640.23,579.81,82.22,729,28.3951,0.2083,A
2934,9,638.9,569.81,83.36,503,37.5746,0.2783,A
2935,10,622.24,529.82,82.22,1055,21.2322,0.1429,A
2936,9,632.83,529.82,81.11,1946,20.8633,0.2405,A
2937,8,632.46,559.81,83.36,1247,19.2462,0.24600000000000002,A
2938,6,616.75,559.81,83.36,1089,5.0505,0.141,A
2939,7,614.48,549.82,85.74,1210,9.1736,0.1385,A
2940,10,632.68,549.82,81.11,1811,12.148,0.1405,A
2941,8,635.57,569.81,81.11,509,20.0393,0.2098,A
2942,8,625.01,569.81,89.58,502,13.5458,0.1739,A
2943,10,628.05,569.81,84.54,333,27.026999999999997,0.1385,A
2944,10,637.34,569.81,84.54,588,39.966,0.1395,A
2945,11,672.39,569.81,72.31,2429,17.2087,0.1416,A
2946,9,706.76,569.81,72.31,1773,5.2453,0.1415,A
2947,9,672.87,589.8,75.03,1683,12.7154,0.1415,A
2948,10,639.12,589.8,88.26,213,59.1549,0.2782,A
2949,10,638.88,599.8,90.94,112,64.2857,0.249,A
2950,10,628.49,579.81,86.99,289,45.6747,0.17300000000000001,A
2951,9,616.1,529.82,86.99,483,32.2981,0.1764,A
2952,8,597.09,529.82,89.58,344,54.6512,0.1745,A
2953,7,594.18,549.82,89.58,600,25.8333,0.1403,A
2984,7,910.66,579.81,49.6,18396,18.3464,0.248,A
2985,6,1020.77,849.72,49.6,3781,50.0132,0.2903,A
2986,6,1003.24,919.69,55.57,1450,75.8621,0.3204,A
2987,7,985.53,789.74,55.06,1966,87.4873,0.3149,A
2988,9,877.52,759.75,55.06,3053,33.8356,0.2493,A
2989,7,779.18,709.76,65.96,747,93.5743,0.1783,A
2990,5,841.48,709.76,58.27,2636,47.5341,0.2097,A
2991,6,997.17,849.72,53.12,2371,83.4669,0.2149,A
2992,8,1027.44,899.7,53.12,2750,60.8727,0.2884,A
2993,7,1008.24,899.7,54.56,1772,79.1761,0.2834,A
2994,6,982.09,729.76,54.56,4245,36.5607,0.2458,A
2995,6,975.39,729.76,55.06,3426,52.4227,0.1831,A
2996,6,985.03,869.71,56.09,1130,88.0531,0.2538,A
2997,7,1008.24,869.71,53.12,1110,77.1171,0.248,A
2998,6,1024.47,929.69,53.12,1366,34.9927,0.2892,A
2999,6,970.37,799.73,56.09,1714,35.0058,0.2488,A
3000,6,947.35,799.73,57.71,2068,40.3288,0.3167,A
3001,7,946.02,869.71,57.71,1108,74.8195,0.2819,A
3002,7,966.92,889.7,57.16,1135,71.63,0.2853,A
3003,7,1001.52,919.69,53.59,1474,50.9498,0.2589,A
3004,9,1018.18,899.7,53.59,1523,39.7242,0.29100000000000004,A
3005,7,904.07,719.76,55.06,2590,46.2934,0.242,A
3006,5,873.77,719.76,57.16,4316,24.3513,0.1788,A
3007,6,996.1,789.74,52.65,2822,31.3607,0.1434,A
3008,6,992.17,839.72,52.65,2334,54.7558,0.14400000000000002,A
3009,8,952.44,839.72,56.09,2051,52.8035,0.1448,A
3010,8,876.37,739.75,57.16,2797,14.8016,0.2075,A
3011,7,778.39,689.77,68.2,704,26.2784,0.1389,A
3012,6,804.02,689.77,62.52,999,42.1421,0.2843,A
3013,6,914.36,799.73,57.16,2266,38.2171,0.2917,A
3014,8,995.38,859.71,54.07,1846,56.9339,0.287,A
3015,8,1003.95,919.69,52.65,1160,53.9655,0.3202,A
3016,8,1009.31,929.69,52.65,1873,34.9706,0.3185,A
3017,6,1032.25,929.69,54.07,1029,53.45,0.1435,A
3018,7,1054.26,959.68,52.19,1837,56.7774,0.2919,A
3019,7,1041.19,959.68,52.19,2155,62.181000000000004,0.2955,A
3020,7,1073.49,979.67,51.74,1013,80.4541,0.2866,A
3021,8,1055.03,939.69,51.74,769,62.6788,0.2917,A
3022,7,1027.06,879.71,54.07,1792,63.7835,0.2885,A
3023,6,968.99,789.74,54.07,1513,44.8116,0.1423,A
3024,6,943.35,789.74,56.09,2114,46.7833,0.318,A
3025,8,1027.81,909.7,54.07,1244,82.5563,0.3243,A
3026,7,1056.19,969.68,53.59,656,72.4085,0.2549,A
3027,7,1052.24,969.68,53.59,1251,40.4476,0.3168,A
3028,7,1040.02,949.68,54.56,837,68.8172,0.3205,A
3029,7,1054.26,949.68,52.19,1490,61.2752,0.2919,A
3030,7,1051.13,969.68,52.19,1235,68.9069,0.2819,A
3031,6,1073.87,969.68,50.02,1287,62.7817,0.1791,A
3032,5,1070.03,949.68,50.02,1021,67.4829,0.3235,A
3033,6,990.03,759.75,53.59,4009,23.2477,0.3247,A
3034,7,925.02,759.75,55.06,3593,33.4818,0.1441,A
3035,7,879.71,799.73,58.27,2236,32.0215,0.2131,A
3036,7,920.69,799.73,56.09,2411,27.3745,0.2896,A
3037,5,1001.09,879.71,54.56,1497,39.7462,0.3211,A
3038,8,1028.94,959.68,52.65,1098,40.8015,0.3471,A
3039,7,1035.58,939.69,52.65,1247,39.5349,0.1431,A
3101,7,1030.03,899.7,54.07,1306,65.6968,0.2877,A
3102,7,1049.27,989.67,54.07,492,71.3415,0.3299,A
3103,7,1010.73,799.73,54.07,3980,31.1055,0.212,A
3104,6,984.31,799.73,54.07,2927,52.4086,0.2177,A
3105,5,993.95,889.7,56.09,728,47.8022,0.2875,A
3106,6,1006.81,889.7,54.07,342,21.345,0.1774,A
3107,5,1017.87,929.69,55.57,1015,80.5911,0.2807,A
3108,6,1035.95,929.69,54.56,1094,79.3419,0.28600000000000003,A
3109,7,1021.14,909.7,54.56,815,58.6503,0.2176,A
3110,6,979.67,909.7,57.16,1028,78.7938,0.2917,A
3111,7,977.26,909.7,57.16,954,86.5828,0.2823,A
3112,7,988.96,759.75,52.19,3893,55.8181,0.325,A
3113,8,1055.8,759.75,50.86,3199,67.9587,0.2914,A
3114,9,1013.59,809.73,50.86,4055,74.7719,0.1409,A
3115,7,965.01,809.73,53.12,3544,63.2901,0.3109,A
3116,7,955.2,829.72,57.16,1576,39.9112,0.3249,A
3234,10,1038.17,959.68,54.07,1036,82.4324,0.3211,A
3235,10,1045.21,949.68,53.59,746,67.6944,0.3544,A
3236,9,1040.39,949.68,52.65,1065,48.6385,0.35600000000000004,A
3237,9,943.13,769.74,54.56,2471,26.8312,0.2925,A
3238,7,864.56,769.74,54.56,1828,39.8796,0.2103,A
3239,7,890.64,779.74,57.16,2569,55.8972,0.3158,A
3240,9,977.26,859.71,55.57,1825,80.2192,0.3176,A
3241,9,1000.38,899.7,55.57,1448,84.3232,0.3213,A
3242,8,1013.23,909.7,53.12,1680,73.2738,0.3172,A
3243,9,1015.02,909.7,53.12,1364,53.2258,0.3167,A
3244,9,930.02,769.74,55.57,2941,41.9925,0.2509,A
3245,9,894.86,769.74,57.16,1839,52.5285,0.1442,A
3246,8,982.53,789.74,54.07,3109,62.68899999999999,0.3272,A
3247,7,1037.06,959.68,52.65,1090,79.5413,0.3571,A
3248,7,1057.43,969.68,52.65,733,86.3574,0.3503,A
3249,8,1082.33,1009.66,51.74,840,78.2143,0.3198,A
3250,9,1063.49,949.68,51.74,1417,77.2054,0.3255,A
3251,9,966.57,759.75,53.59,3084,34.2412,0.3211,A
3252,9,896.8,759.75,55.06,2201,37.0286,0.1439,A
3253,9,848.81,709.76,61.88,1340,54.5522,0.3213,A
3254,9,744.11,639.79,66.69,1956,17.3824,0.1723,A
3255,11,701.77,629.79,64.54,1714,40.6068,0.1781,A
3256,11,773.08,629.79,64.54,2481,41.3543,0.1797,A
3257,9,863.35,419.86,54.07,8729,59.5372,0.3159,A
3258,8,972.78,419.86,54.07,6762,74.96300000000001,0.2836,A
3259,8,1046.96,949.68,53.59,1253,66.7199,0.2939,A
3260,7,1052.34,949.68,51.3,2179,60.7618,0.2558,A
3261,7,1062.72,959.68,51.3,1713,68.0677,0.2895,A
3262,8,1066.57,969.68,52.65,1115,86.009,0.2885,A
3263,8,1075.03,979.67,52.19,1169,79.0419,0.2862,A
3264,7,1041.96,919.69,53.59,1406,82.7881,0.2584,A
3265,6,1054.65,919.69,51.3,1657,69.5836,0.2918,A
3266,6,1057.8,889.7,51.3,2047,83.3415,0.2801,A
3267,7,1042.25,889.7,52.65,1461,87.4059,0.2843,A
3268,7,1050.03,929.69,53.12,1112,85.7014,0.293,A
3269,8,1059.26,919.69,50.02,1989,62.1418,0.2542,A
3270,7,1010.73,909.7,53.12,1614,52.6022,0.2827,A
3271,7,971.4,879.71,56.62,1300,72.4615,0.3195,A
3272,6,984.67,879.71,56.62,1088,81.7096,0.2902,A
3273,8,996.1,899.7,56.62,1514,74.5046,0.2868,A
3274,7,1013.23,899.7,54.56,1956,78.2209,0.3172,A
3275,6,1024.1,919.69,54.07,2389,66.262,0.2532,A
3276,7,1011.51,929.69,54.07,1935,81.9638,0.2929,A
3277,8,1007.07,929.69,54.07,1362,81.0573,0.2942,A
3278,7,1032.62,949.68,54.07,1198,95.2421,0.2869,A
3279,8,1054.46,959.68,52.65,2062,82.2987,0.281,A
3280,6,1057.43,949.68,51.3,3036,79.1831,0.2802,A
3281,6,1076.04,949.68,50.86,1991,88.5987,0.2602,A
3282,8,1065.03,939.69,51.74,1585,74.0694,0.2528,A
3283,7,1049.65,939.69,51.74,1943,70.5095,0.2565,A
3284,8,1054.26,949.68,53.12,1741,66.2263,0.2554,A
3285,6,1050.39,679.77,51.3,5056,70.0949,0.2468,A
3286,8,1011.81,679.77,51.3,6179,52.3709,0.2471,A
3287,8,1005.02,799.73,54.56,1511,48.1138,0.2132,A
3288,6,1036.32,939.69,52.65,1206,35.9038,0.2144,A
3289,7,987.17,419.86,52.65,8233,57.5003,0.3618,A
3290,9,950.03,419.86,56.09,8816,61.5812,0.3267,A
3291,8,1000.02,869.71,55.57,1764,72.5624,0.2857,A
3292,7,969.33,499.83,55.57,7824,65.3758,0.249,A
3293,8,1006.81,839.72,52.19,2232,52.733000000000004,0.3193,A
3294,9,985.03,419.86,52.19,9496,80.0442,0.3263,A
3295,7,1001.09,419.86,53.12,9080,87.4009,0.3211,A
3296,9,964.68,819.73,53.12,3591,46.6444,0.2073,A
3297,8,909.03,759.75,55.57,4122,52.8384,0.1834,A
3391,8,1063.88,979.67,52.65,1224,69.3627,0.3254,A
3392,7,1041.87,929.69,52.65,905,64.9724,0.1422,A
